"datum","datensatz_id","publisher","datensatz_titel","anzahl_klicks","anzahl_besuchende"
"2024-08-27",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",2,2
"2024-08-27",129,"statistisches-amt-kanton-zuerich","Zürcher Finanzausgleich",1,1
"2024-08-27",1301,"fachstelle-ogd-kanton-zuerich","Bestandsdaten zum Kanton Zürich aus dem Zentralen Firmenindex (Zefix) des Bundes",2,1
"2024-08-27",1462,"statistisches-amt-kanton-zuerich","Unbezahlte Arbeit im Kanton Zürich",1,1
"2024-08-27",1642,"bildungsstatistik-kanton-zuerich","Lernende der Berufsbildung im Kanton Zürich ab 2000",1,1
"2024-08-27",1742,"statistisches-amt-kanton-zuerich","Tagesregistereinträge zum Kanton Zürich und der Schweiz aus dem Zentralen Firmenindex (Zefix) des Bundes",4,1
"2024-08-27",1802,"are-kanton-zuerich","Geschossflächen im Kanton Zürich",2,1
"2024-08-27",1803,"awel-kanton-zuerich","Abfallmengen und Abfallgebühren in den Gemeinden im Kanton Zürich ab 2000",2,1
"2024-08-27",1862,"statistisches-amt-kanton-zuerich","Bodenversiegelung im Kanton Zürich",1,1
"2024-08-27",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-27",1902,"statistisches-amt-kanton-zuerich","Politische Profile veränderter Wahlzettel",1,1
"2024-08-27",1922,"statistisches-amt-kanton-zuerich","Aus- und Einzugsmieten im Kanton Zürich",1,1
"2024-08-27",2062,"statistisches-amt-kanton-zuerich","Parteienlandschaft in Bewegung",1,1
"2024-08-27",2143,"statistisches-amt-kanton-zuerich","Regierungsratswahl im Zeichen der Stabilität",1,1
"2024-08-27",2262,"statistisches-amt-kanton-zuerich","Photovoltaik im Kanton Zürich",1,1
"2024-08-27",2302,"statistisches-amt-kanton-zuerich","Kandidierende und Listenverbindungen Nationalratswahl 2023",3,1
"2024-08-27",2322,"statistisches-amt-kanton-zuerich","Betriebslandschaft im Kanton Zürich mit dem Bestand und den Umzügen nach Branchen, Gemeinden und anderen Kantonen",1,1
"2024-08-27",2342,"statistisches-amt-kanton-zuerich","Mobilitätsverhalten der Zürcher Bevölkerung",1,1
"2024-08-27",2383,"awel-kanton-zuerich","Messdaten zu ultrafeinen Partikeln in Kloten: Anzahl-Grössenverteilungen, Luftschadstoffe und Meteorologie",4,2
"2024-08-27",2483,"statistisches-amt-kanton-zuerich","Kantonsratswahlen: Wähleranteil Übrige [%]",1,1
"2024-08-27",2522,"statistisches-amt-kanton-zuerich","Web Analytics des Datenkatalogs des Kantons Zürich",1,1
"2024-08-27",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",2,2
"2024-08-27",2562,"statistisches-amt-kanton-zuerich","Wärmebelastung der Bevölkerung im Kanton Zürich",1,1
"2024-08-27",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",1,1
"2024-08-27",2564,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe",4,1
"2024-08-27",2622,"are-kanton-zuerich","Nutzungsdichte im Kanton Zürich",4,1
"2024-08-27",264,"statistisches-amt-kanton-zuerich","Babyboomer nicht mehr stärkste Jahrgänge",2,1
"2024-08-27",2644,"statistisches-amt-kanton-zuerich","Zwei Jahre Schutzstatus S im Kanton Zürich",1,1
"2024-08-27",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",2,1
"2024-08-27",270,"statistisches-amt-kanton-zuerich","Zürcher Immobilienhandel",1,1
"2024-08-27",38,"statistisches-amt-kanton-zuerich","Bevölkerung nach Heimat und Geschlecht",1,1
"2024-08-27",416,"statistisches-amt-kanton-zuerich","Abfallstatistik heute und morgen",1,1
"2024-08-27",440,"statistisches-amt-kanton-zuerich","Bildungsvergleich: Wie die Eltern, so die Kinder",1,1
"2024-08-27",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",1,1
"2024-08-27",503,"staatsarchiv-kanton-zuerich","Archivinformationssystem des Staatsarchivs des Kantons Zürich",1,1
"2024-08-27",548,"statistisches-amt-kanton-zuerich","Boden- und Immobilienpreise im Jahr 2007",1,1
"2024-08-27",615,"statistisches-amt-kanton-zuerich","Fremdsprachen und Zuwanderung",1,1
"2024-08-27",712,"staatsarchiv-kanton-zuerich","Erlasse der Zürcher Gesetzessammlung ab 1803",2,1
"2024-08-27",734,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Abstimmungstag – kommunale und regionale Vorlagen",1,1
"2024-08-27",76,"statistisches-amt-kanton-zuerich","Einkommensverteilung",1,1
"2024-08-26",1,"statistisches-amt-kanton-zuerich","Kapitaldienstanteil [%]",1,1
"2024-08-26",1080,"fachstelle-ogd-kanton-zuerich","Unterlagen und Protokolle des Fachausschusses für offene Behördendaten des Kantons Zürich",2,1
"2024-08-26",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",5,4
"2024-08-26",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",4,3
"2024-08-26",124,"statistisches-amt-kanton-zuerich","Statistisches Jahrbuch des Kantons Zürich",1,1
"2024-08-26",1341,"statistisches-amt-kanton-zuerich","Bevölkerungsbefragung im Kanton Zürich zur Zufriedenheit mit der Wohngemeinde ",1,1
"2024-08-26",1362,"gesundheitsdirektion-kanton-zuerich","Trinkwasserqualität im Kanton Zürich nach Gemeinden und Verteilzonen",2,1
"2024-08-26",1481,"stadt-winterthur","Bevölkerungswachstum der Stadt Winterthur ab 1985",2,2
"2024-08-26",1742,"statistisches-amt-kanton-zuerich","Tagesregistereinträge zum Kanton Zürich und der Schweiz aus dem Zentralen Firmenindex (Zefix) des Bundes",3,2
"2024-08-26",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",5,3
"2024-08-26",2022,"fachstelle-ogd-kanton-zuerich","Gebäude und Wohnungen im Kanton Zürich",3,2
"2024-08-26",2162,"statistisches-amt-kanton-zuerich","Vorlage für die Auswertung des GWR nach Bautätigkeit und Bestand im Kanton Zürich",1,1
"2024-08-26",2322,"statistisches-amt-kanton-zuerich","Betriebslandschaft im Kanton Zürich mit dem Bestand und den Umzügen nach Branchen, Gemeinden und anderen Kantonen",1,1
"2024-08-26",2342,"statistisches-amt-kanton-zuerich","Mobilitätsverhalten der Zürcher Bevölkerung",2,1
"2024-08-26",2423,"awi-kanton-zuerich","Vergleich der Standortattraktivität des Kantons Zürich mit europäischen Regionen",4,1
"2024-08-26",2442,"awel-kanton-zuerich","Deponiestatistik des Kantons Zürich",1,1
"2024-08-26",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",2,2
"2024-08-26",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",2,2
"2024-08-26",2604,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe und Quartier",2,1
"2024-08-26",2622,"are-kanton-zuerich","Nutzungsdichte im Kanton Zürich",3,1
"2024-08-26",2644,"statistisches-amt-kanton-zuerich","Zwei Jahre Schutzstatus S im Kanton Zürich",2,1
"2024-08-26",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",12,6
"2024-08-26",274,"statistisches-amt-kanton-zuerich","Die Handänderungsstatistik - eine Einführung",1,1
"2024-08-26",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",1,1
"2024-08-26",38,"statistisches-amt-kanton-zuerich","Bevölkerung nach Heimat und Geschlecht",1,1
"2024-08-26",440,"statistisches-amt-kanton-zuerich","Bildungsvergleich: Wie die Eltern, so die Kinder",1,1
"2024-08-26",464,"statistisches-amt-kanton-zuerich","Immer mehr Hochqualifizierte",3,1
"2024-08-26",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",2,1
"2024-08-26",503,"staatsarchiv-kanton-zuerich","Archivinformationssystem des Staatsarchivs des Kantons Zürich",1,1
"2024-08-26",63,"statistisches-amt-kanton-zuerich","Bevölkerung nach Konfession und Kirchgemeinden",1,1
"2024-08-26",692,"tiefbauamt-kanton-zuerich","Verkehrszähldaten motorisierter Individualverkehr MIV im Kanton Zürich",2,1
"2024-08-26",705,"statistisches-amt-kanton-zuerich","Bevölkerungsprognose für den Kanton Zürich",7,4
"2024-08-26",718,"kantonspolizei-kanton-zuerich","Polizeilich registrierte Verkehrsunfälle im Kanton Zürich seit 2011",3,1
"2024-08-26",723,"statistisches-amt-kanton-zuerich","Steuererträge nach Einkommens- und Vermögensklassen",2,1
"2024-08-26",729,"gesundheitsdirektion-kanton-zuerich","Badewasserqualität in öffentlichen Badeanstalten an Flüssen und Seen im Kanton Zürich",2,1
"2024-08-26",734,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Abstimmungstag – kommunale und regionale Vorlagen",2,2
"2024-08-25",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",4,4
"2024-08-25",1142,"statistisches-amt-kanton-zuerich","Bevölkerung nach 3 Altersklassen und Geschlecht",2,1
"2024-08-25",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",3,1
"2024-08-25",1461,"fachstelle-ogd-kanton-zuerich","Web Service des Metadatenkatalogs des Kantons Zürich",1,1
"2024-08-25",1481,"stadt-winterthur","Bevölkerungswachstum der Stadt Winterthur ab 1985",1,1
"2024-08-25",179,"statistisches-amt-kanton-zuerich","Fläche [ha]",1,1
"2024-08-25",1802,"are-kanton-zuerich","Geschossflächen im Kanton Zürich",1,1
"2024-08-25",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-25",2022,"fachstelle-ogd-kanton-zuerich","Gebäude und Wohnungen im Kanton Zürich",1,1
"2024-08-25",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",1,1
"2024-08-25",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",10,6
"2024-08-25",2643,"aln-kanton-zuerich","Naturschutz-Finanzaufwand im Natur- und Heimatschutzfond des Kantons Zürich",1,1
"2024-08-25",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",1,1
"2024-08-25",38,"statistisches-amt-kanton-zuerich","Bevölkerung nach Heimat und Geschlecht",1,1
"2024-08-24",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",3,3
"2024-08-24",1461,"fachstelle-ogd-kanton-zuerich","Web Service des Metadatenkatalogs des Kantons Zürich",1,1
"2024-08-24",1481,"stadt-winterthur","Bevölkerungswachstum der Stadt Winterthur ab 1985",2,1
"2024-08-24",179,"statistisches-amt-kanton-zuerich","Fläche [ha]",1,1
"2024-08-24",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-24",204,"statistisches-amt-kanton-zuerich","Bevölkerung [Pers.]",1,1
"2024-08-24",2184,"statistisches-amt-kanton-zuerich","Resultate und Wahlbeteiligung Regierungsratswahl 2023",1,1
"2024-08-24",2202,"statistisches-amt-kanton-zuerich","Resultate und Wahlbeteiligung Nationalratswahl 2023",1,1
"2024-08-24",2302,"statistisches-amt-kanton-zuerich","Kandidierende und Listenverbindungen Nationalratswahl 2023",1,1
"2024-08-24",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",2,1
"2024-08-24",2604,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe und Quartier",4,1
"2024-08-24",2622,"are-kanton-zuerich","Nutzungsdichte im Kanton Zürich",1,1
"2024-08-24",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",1,1
"2024-08-24",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",1,1
"2024-08-24",563,"awel-kanton-zuerich","Lufttemperatur und Luftfeuchte LoRa-Sensor-Messwerte",1,1
"2024-08-24",692,"tiefbauamt-kanton-zuerich","Verkehrszähldaten motorisierter Individualverkehr MIV im Kanton Zürich",1,1
"2024-08-24",723,"statistisches-amt-kanton-zuerich","Steuererträge nach Einkommens- und Vermögensklassen",1,1
"2024-08-24",76,"statistisches-amt-kanton-zuerich","Einkommensverteilung",2,2
"2024-08-23",1,"statistisches-amt-kanton-zuerich","Kapitaldienstanteil [%]",2,2
"2024-08-23",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",4,3
"2024-08-23",1142,"statistisches-amt-kanton-zuerich","Bevölkerung nach 3 Altersklassen und Geschlecht",1,1
"2024-08-23",125,"statistisches-amt-kanton-zuerich","Vermögensverteilung",1,1
"2024-08-23",1802,"are-kanton-zuerich","Geschossflächen im Kanton Zürich",2,1
"2024-08-23",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-23",2,"statistisches-amt-kanton-zuerich","Selbstfinanzierungsanteil [%]",1,1
"2024-08-23",2162,"statistisches-amt-kanton-zuerich","Vorlage für die Auswertung des GWR nach Bautätigkeit und Bestand im Kanton Zürich",1,1
"2024-08-23",2322,"statistisches-amt-kanton-zuerich","Betriebslandschaft im Kanton Zürich mit dem Bestand und den Umzügen nach Branchen, Gemeinden und anderen Kantonen",1,1
"2024-08-23",2502,"statistisches-amt-kanton-zuerich","Anzahl Kantonsratssitze nach Wahlkreis",2,1
"2024-08-23",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",2,1
"2024-08-23",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",1,1
"2024-08-23",2564,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe",1,1
"2024-08-23",2605,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat, Geschlecht und Altersklasse",1,1
"2024-08-23",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",11,4
"2024-08-23",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",2,2
"2024-08-23",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",4,3
"2024-08-23",544,"oberjugendanwaltschaft-kanton-zuerich","Statistik der Jugendstrafrechtspflege des Kantons Zürich",3,1
"2024-08-23",705,"statistisches-amt-kanton-zuerich","Bevölkerungsprognose für den Kanton Zürich",2,2
"2024-08-23",734,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Abstimmungstag – kommunale und regionale Vorlagen",1,1
"2024-08-23",75,"statistisches-amt-kanton-zuerich","Effektive Quadratmeterpreise von Wohnbauland pro Gemeinde",4,3
"2024-08-22",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",6,4
"2024-08-22",1142,"statistisches-amt-kanton-zuerich","Bevölkerung nach 3 Altersklassen und Geschlecht",2,2
"2024-08-22",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",4,3
"2024-08-22",124,"statistisches-amt-kanton-zuerich","Statistisches Jahrbuch des Kantons Zürich",1,1
"2024-08-22",127,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand ab 1962",1,1
"2024-08-22",128,"statistisches-amt-kanton-zuerich","Leerwohnungszahlen",1,1
"2024-08-22",1281,"statistisches-amt-kanton-zuerich","Archiv Wahlresultate Gemeindebehördenwahlen im Kanton Zürich",1,1
"2024-08-22",1363,"awel-kanton-zuerich","Luftschadstoffemissionen im Kanton Zürich",1,1
"2024-08-22",1481,"stadt-winterthur","Bevölkerungswachstum der Stadt Winterthur ab 1985",2,1
"2024-08-22",151,"statistisches-amt-kanton-zuerich","Generalisierte politische Gemeinden des Kantons Zürich",1,1
"2024-08-22",1541,"statistisches-amt-kanton-zuerich","Ausländische Wohnbevölkerung mit Schutzstatus S im Kanton Zürich, 10-Jahres-Altersklassen und Geschlecht",1,1
"2024-08-22",1742,"statistisches-amt-kanton-zuerich","Tagesregistereinträge zum Kanton Zürich und der Schweiz aus dem Zentralen Firmenindex (Zefix) des Bundes",3,2
"2024-08-22",1802,"are-kanton-zuerich","Geschossflächen im Kanton Zürich",3,1
"2024-08-22",1823,"stadt-winterthur","Beschäftigte der Stadt Winterthur",1,1
"2024-08-22",1863,"stadt-winterthur","Bruttolastgang elektrische Energie der Stadt Winterthur",3,1
"2024-08-22",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",6,4
"2024-08-22",1942,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Wahltag des Kantons Zürich",1,1
"2024-08-22",2143,"statistisches-amt-kanton-zuerich","Regierungsratswahl im Zeichen der Stabilität",1,1
"2024-08-22",2242,"ekz","Bruttolastgang elektrische Energie im Versorgungsgebiet der Elektrizitätswerke des Kantons Zürich",2,1
"2024-08-22",2342,"statistisches-amt-kanton-zuerich","Mobilitätsverhalten der Zürcher Bevölkerung",2,1
"2024-08-22",2382,"awel-kanton-zuerich","Messdaten langjähriger Abgasmessungen im realen Fahrbetrieb mittels Remote Sensing (RSD)",3,1
"2024-08-22",2462,"awel-kanton-zuerich","Kurzzeitmessungen nichtionisierende Strahlung im Kanton Zürich",1,1
"2024-08-22",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",9,7
"2024-08-22",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",5,3
"2024-08-22",2604,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe und Quartier",1,1
"2024-08-22",2605,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat, Geschlecht und Altersklasse",3,1
"2024-08-22",2643,"aln-kanton-zuerich","Naturschutz-Finanzaufwand im Natur- und Heimatschutzfond des Kantons Zürich",1,1
"2024-08-22",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",15,8
"2024-08-22",31,"statistisches-amt-kanton-zuerich","Bevölkerung nach 1-Jahres-Altersklassen, Heimat und Geschlecht",1,1
"2024-08-22",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",3,1
"2024-08-22",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",1,1
"2024-08-22",524,"bildungsstatistik-kanton-zuerich","Übersicht über alle Lernenden im Kanton Zürich ab 2000",1,1
"2024-08-22",534,"statistisches-amt-kanton-zuerich","Regionalisierte Bevölkerungsprognosen für den Kanton Zürich bis 2030",1,1
"2024-08-22",692,"tiefbauamt-kanton-zuerich","Verkehrszähldaten motorisierter Individualverkehr MIV im Kanton Zürich",2,1
"2024-08-22",694,"statistisches-amt-kanton-zuerich","Archiv Wahlresultate Regierungsratswahlen",1,1
"2024-08-22",705,"statistisches-amt-kanton-zuerich","Bevölkerungsprognose für den Kanton Zürich",3,2
"2024-08-22",718,"kantonspolizei-kanton-zuerich","Polizeilich registrierte Verkehrsunfälle im Kanton Zürich seit 2011",5,2
"2024-08-22",723,"statistisches-amt-kanton-zuerich","Steuererträge nach Einkommens- und Vermögensklassen",2,1
"2024-08-21",1120,"are-kanton-zuerich","Bauzonen im Kanton Zürich",2,2
"2024-08-21",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",11,7
"2024-08-21",1142,"statistisches-amt-kanton-zuerich","Bevölkerung nach 3 Altersklassen und Geschlecht",6,4
"2024-08-21",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",2,2
"2024-08-21",1363,"awel-kanton-zuerich","Luftschadstoffemissionen im Kanton Zürich",5,1
"2024-08-21",1481,"stadt-winterthur","Bevölkerungswachstum der Stadt Winterthur ab 1985",1,1
"2024-08-21",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",5,4
"2024-08-21",191,"statistisches-amt-kanton-zuerich","Steuerkraft berichtigt [Mio.Fr.]",1,1
"2024-08-21",204,"statistisches-amt-kanton-zuerich","Bevölkerung [Pers.]",2,1
"2024-08-21",2262,"statistisches-amt-kanton-zuerich","Photovoltaik im Kanton Zürich",1,1
"2024-08-21",2282,"ima-kanton-zuerich","E-Ladestationen der kantonalen Verwaltung Zürich",1,1
"2024-08-21",2302,"statistisches-amt-kanton-zuerich","Kandidierende und Listenverbindungen Nationalratswahl 2023",1,1
"2024-08-21",2383,"awel-kanton-zuerich","Messdaten zu ultrafeinen Partikeln in Kloten: Anzahl-Grössenverteilungen, Luftschadstoffe und Meteorologie",11,2
"2024-08-21",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",7,7
"2024-08-21",256,"statistisches-amt-kanton-zuerich","Demografische Alterung im Kanton Zürich",2,1
"2024-08-21",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",4,3
"2024-08-21",2564,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe",1,1
"2024-08-21",2605,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat, Geschlecht und Altersklasse",1,1
"2024-08-21",264,"statistisches-amt-kanton-zuerich","Babyboomer nicht mehr stärkste Jahrgänge",1,1
"2024-08-21",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",5,3
"2024-08-21",31,"statistisches-amt-kanton-zuerich","Bevölkerung nach 1-Jahres-Altersklassen, Heimat und Geschlecht",1,1
"2024-08-21",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",4,3
"2024-08-21",38,"statistisches-amt-kanton-zuerich","Bevölkerung nach Heimat und Geschlecht",1,1
"2024-08-21",444,"statistisches-amt-kanton-zuerich","Abstimmungsparolen von kantonalzürcher und nationalen Parteien",1,1
"2024-08-21",466,"staatsarchiv-kanton-zuerich","Zürcher Regierungsratsbeschlüsse des 19. und 20. Jahrhunderts",2,1
"2024-08-21",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",3,2
"2024-08-21",672,"bildungsstatistik-kanton-zuerich","Maturitätsquoten im Kanton Zürich",1,1
"2024-08-21",692,"tiefbauamt-kanton-zuerich","Verkehrszähldaten motorisierter Individualverkehr MIV im Kanton Zürich",4,2
"2024-08-21",705,"statistisches-amt-kanton-zuerich","Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-21",708,"statistisches-amt-kanton-zuerich","Steuerstatistik zu juristischen Personen im Kanton Zürich",1,1
"2024-08-21",717,"statistisches-amt-kanton-zuerich","Bestandsmieten im Kanton Zürich",5,2
"2024-08-20",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",2,2
"2024-08-20",1142,"statistisches-amt-kanton-zuerich","Bevölkerung nach 3 Altersklassen und Geschlecht",1,1
"2024-08-20",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",3,2
"2024-08-20",119,"statistisches-amt-kanton-zuerich","Quartalsbericht Immobilienmarkt",1,1
"2024-08-20",126,"statistisches-amt-kanton-zuerich","Wanderungsbilanz nach Heimat",1,1
"2024-08-20",127,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand ab 1962",2,2
"2024-08-20",128,"statistisches-amt-kanton-zuerich","Leerwohnungszahlen",5,4
"2024-08-20",1321,"personalamt-kanton-zuerich","Personal- und Lohnstatistik der Direktionen und der Staatskanzlei des Kantons Zürich ab 2020",1,1
"2024-08-20",1421,"handelsregisteramt-kanton-zuerich","Eintragungen im Handelsregister des Kantons Zürich",2,1
"2024-08-20",1742,"statistisches-amt-kanton-zuerich","Tagesregistereinträge zum Kanton Zürich und der Schweiz aus dem Zentralen Firmenindex (Zefix) des Bundes",2,1
"2024-08-20",179,"statistisches-amt-kanton-zuerich","Fläche [ha]",2,2
"2024-08-20",1863,"stadt-winterthur","Bruttolastgang elektrische Energie der Stadt Winterthur",1,1
"2024-08-20",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",2,2
"2024-08-20",1942,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Wahltag des Kantons Zürich",2,1
"2024-08-20",1982,"afm-kanton-zuerich","Verkehrsnachfrage im ÖV, MIV und im Veloverkehr nach Gemeinden und Regionen im Kanton Zürich",1,1
"2024-08-20",2022,"fachstelle-ogd-kanton-zuerich","Gebäude und Wohnungen im Kanton Zürich",3,1
"2024-08-20",2282,"ima-kanton-zuerich","E-Ladestationen der kantonalen Verwaltung Zürich",1,1
"2024-08-20",2342,"statistisches-amt-kanton-zuerich","Mobilitätsverhalten der Zürcher Bevölkerung",1,1
"2024-08-20",2383,"awel-kanton-zuerich","Messdaten zu ultrafeinen Partikeln in Kloten: Anzahl-Grössenverteilungen, Luftschadstoffe und Meteorologie",1,1
"2024-08-20",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",5,3
"2024-08-20",255,"statistisches-amt-kanton-zuerich","Bodenpreise für die Zürcher Gemeinden",1,1
"2024-08-20",2562,"statistisches-amt-kanton-zuerich","Wärmebelastung der Bevölkerung im Kanton Zürich",3,2
"2024-08-20",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",2,2
"2024-08-20",2622,"are-kanton-zuerich","Nutzungsdichte im Kanton Zürich",4,4
"2024-08-20",2643,"aln-kanton-zuerich","Naturschutz-Finanzaufwand im Natur- und Heimatschutzfond des Kantons Zürich",2,1
"2024-08-20",2644,"statistisches-amt-kanton-zuerich","Zwei Jahre Schutzstatus S im Kanton Zürich",2,1
"2024-08-20",270,"statistisches-amt-kanton-zuerich","Zürcher Immobilienhandel",1,1
"2024-08-20",286,"statistisches-amt-kanton-zuerich","Der Preis des Bodens",2,1
"2024-08-20",33,"statistisches-amt-kanton-zuerich","Bevölkerung nach 20 Altersklassen und Geschlecht",1,1
"2024-08-20",332,"statistisches-amt-kanton-zuerich","Baulandpreis Modell (Median) [Fr./m2]",1,1
"2024-08-20",37,"statistisches-amt-kanton-zuerich","Bevölkerung nach Geschlecht, Heimat und Konfession, 1850-2000",1,1
"2024-08-20",451,"statistisches-amt-kanton-zuerich","Die Bodenpreise haben sich 2004 im Kanton Zürich nur wenig verändert",2,1
"2024-08-20",466,"staatsarchiv-kanton-zuerich","Zürcher Regierungsratsbeschlüsse des 19. und 20. Jahrhunderts",1,1
"2024-08-20",468,"staatsarchiv-kanton-zuerich","Zürcher Ehedaten des 16. bis 18. Jahrhunderts",1,1
"2024-08-20",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",4,3
"2024-08-20",503,"staatsarchiv-kanton-zuerich","Archivinformationssystem des Staatsarchivs des Kantons Zürich",4,2
"2024-08-20",524,"bildungsstatistik-kanton-zuerich","Übersicht über alle Lernenden im Kanton Zürich ab 2000",2,1
"2024-08-20",577,"statistisches-amt-kanton-zuerich","Immobilien- und Bodenpreise im Kanton Zürich 2002: Unterschiedliche Tendenzen",1,1
